"Name"	"Strain"
"Lysobacter spongiicola"	"KMM 329"
"Variovorax boronicumulans"	"BAM-48"
"Megamonas funiformis"	"YIT 11815"
"Sutterella parvirubra"	"YIT 11816"
"Pseudomonas marincola"	"KMM 3042"
"Lewinella lutea"	"FYK2402M69T"
"Lewinella marina"	"MKG-38T"
"Methylomarinum vadi"	"IT-4"
"Pseudosporangium ferrugineum"	"3-44-a(19)"
"Tropicibacter naphthalenivorans"	"C02T"
"Tropicimonas isoalkanivorans"	"B51T"
"Tranquillimonas alkanivorans"	"A34"
"Methylobacterium gregans"	"002-074"
"Acanthopleuribacter pedis"	"FYK2218"
"Desulfovibrio Desulfovibrio butyratiphilus"	"BSY"
"Desulfovibrio butyratiphilus"	"BSY"
"Thiofaba tepidiphila"	"BDA453"
"Psychromonas japonica"	"JAMM 0394"
"Psychromonas ossibalaenae"	"JAMM 0738"
"Arcanobacterium abortisuis"	"MurakamiT"
"Lactobacillus sucicola"	"NRIC0736T "
"Bacillus  Bacillus trypoxylicola"	"SU1"
"Bacillus trypoxylicola"	"SU1"
"Bacillus trypoxylicola"	"SU1"
"Oleibacter marinus"	"Oleibacter marinus"
"Oleibacter marinus"	"2O1T"
"Georgenia thermotolerans"	"TT02-04T"
"Methanoculleus horonobensis"	"T10"
"Psychrobacter fulvigenes"	"KC40T"
"Winogradskyella arenosi"	"R60T"
"Bartonella Bartonella japonica"	"Fuji 18-1"
"Bartonella japonica"	"Fuji 18-1"
"Bartonella Bartonella silvatica"	"Fuji 23-1"
"Bartonella silvatica"	"Fuji 23-1"
"Streptomyces baliensis"	"ID03-0915T"
"Butyricimonas synergistica"	"MT01T"
"Butyricimonas virosa"	"MT12T"
"Paraoerskovia marina"	"CTT-37T"
"Friedmanniella  Friedmanniella luteola"	"FA1"
"Friedmanniella luteola"	"FA1"
"Friedmanniella lucida"	"FA2"
"Friedmanniella okinawensis"	"FB1"
"Friedmanniella  Friedmanniella okinawensis"	"FB1"
"Friedmaniella sagamiharensis"	"FB2"
"Methanolinea mesophila"	"TNR"
"Actinokineospora baliensis"	"ID03-0561"
"Actinokineospora cibodasensis"	"ID03-0784"
"Geomicrobium Geomicrobium halophilum"	"BH1"
"Geomicrobium halophilum"	"BH1"
"Natribacillus halophilus"	"HN30"
"Caldicoprobacter Caldicoprobacter oshimai"	"JW/HY-331"
"Caldicoprobacter oshimai"	"JW/HY-331"
"Caldicoprobacter oshimai"	"JW/HY-331"
"Psychrobacter Psychrobacter piscatorii"	"T-3-2"
"Psychrobacter piscatorii"	"T-3-2"
"Agromyces tropicus"	"CM9-9T"
"Actinaurispora siamensis"	"CM2-8"
"Actinaurispora siamensis"	"CM2-8"
"Actinaurispora siamensis"	"CM2-8"
"Flavobacterium  Flavobacterium algicola"	"TC2"
"Flavobacterium algicola"	"TC2"
"Serinibacter salmoneus"	"Kis4-28T"
"Serinibacter salmoneus"	"Kis4-28T"
"Natronoarchaeum philippinense"	"294-194-5"
"Umboniibacter Umboniibacter marinipuniceus"	"KMM 3891"
"Umboniibacter marinipuniceus"	"KMM 3891"
"Marinomonas arenicola"	"KMM3893T"
"Actinoplanes  Actinoplanes toevensis"	"MN07-A0368"
"Actinoplanes toevensis"	"MN07-A0368"
"Actinoplanes  Actinoplanes tereljensis"	"MN07-A0371"
"Actinoplanes tereljensis"	"MN07-A0371"
"Luteipulveratus Luteipulveratus mongoliensis"	"MN07-A0370"
"Luteipulveratus mongoliensis"	"MN07- A0370"
"Streptococcus Streptococcus dentapri"	"NUM 1529"
"Streptococcus dentapri"	"NUM 1529"
"Parabacteroides gordonii "	"MS-1T"
"Demequina  Demequina salsinemoris"	"KV-810"
"Demequina salsinemoris"	"KV-810"
"Aestuariibacter litoralis"	"KMM 3894"
"Aestuariibacter  Aestuariibacter litoralis "	"KMM 3894"
"Aliiglaciecola litoralis"	"KMM 3894"
"Streptomyces marinus"	"Sp080513GE-26"
"Streptomyces tateyamensis"	"Sp080513SC-39"
"Streptomyces haliclonae"	"Sp080513SC-31"
"Actinokineospora cianjurensis"	"ID03-0810"
"Prevotella dentasini"	"NUM 1903"
"Prevotella dentasini"	"NUM 1903"
"Ignavibacterium album"	" Mat9-16"
"Ignavibacterium album"	"Mat9-16"
"Euzebya tangerina"	"F10"
"Methanoregula formicica"	"SMSP"
"Prevotella aurantiaca"	"OMA31"
"Prevotella Prevotella aurantiaca"	"OMA31"
"Burkholderia oxyphila"	"OX-01T"
"Burkholderia oxyphila"	"Burkholderia oxyphila"
"Halostagnicola kamekurae"	"194-10"
"Luteimicrobium Luteimicrobium subarcticum"	"R19-04"
"Luteimicrobium subarcticum"	"R19-04"
"Phytohabitans suffuscus"	"K07-0523"
"Bacteroides clarus"	"YIT 12056"
"Bacteroides fluxus"	"YIT 12057"
"Bacteroides oleiciplenus"	"YIT 12058"
"Alistipes indistinctus"	"YIT 12060"
"Alistipes Alistipes indistinctus"	" YIT 12060"
"Odoribacter laneus"	"YIT 12061"
"Ordoribacter laneus"	"YIT 12061"
"Slackia piriformis"	"YIT 12062"
"Christensenella minuta"	"YIT 12065"
"Succinatimonas hippei"	"YIT 12066"
"Succinatimonas hippei"	"YIT 12066"
"Parasutterella secunda"	"YIT 12071T"
"Nocardiopsis  nikkonensis"	"YU1183-22"
"Tomitella biformata"	"AHU1821"
"Paenibacillus xylanisolvens"	"Paenibacillus xylanisolvens"
"Paenibacillus xylanisolvens"	"X11-1"
"Paenibacillus xylanisolvens"	"X11-1T"
"Burkholderia  Burkholderia heleia"	"SA41"
"Burkholderia heleia"	"SA41"
"Dactylosporangium Dactylosporangium maewongense"	"MW2-25"
"Dactylosporangium maewongense"	"MW2-25"
"Cocleimonas flava"	"KMM 3898T"
"Cocleimonas flava"	"Cocleimonas flava"
"Lactobacillus florum"	"F9-1"
"Marinicella litoralis"	"KMM 3900"
"Arenicella xantha"	"KMM 3895"
"Arenicella xantha"	"KMM 3895"
"Streptomyces coacervatus"	"AS-0823T"
"Streptococcus ursoris"	"Streptococcus ursoris"
"Streptococcus ursoris"	"NUM 1615"
"Streptococcus ursoris"	"NUM 1615T"
"Methylovulum miyakonense"	"HT12T"
"Natronoarchaeum mannanilyticum"	"YSM-123"
"Kangiella japonica"	"KMM 3899"
"Brevibacillus nitrificans"	"IDA2"
"Angustibacter luteus"	"TT07R-79"
"Aquimarina macrocephali"	"JAMB N27"
"Salinirepens Amamiensis"	"AM11-6"
"Methanospirillum lacunae"	"Ki8-1"
"Litoreibacter albidus"	"Litoreibacter albidus"
"Litoreibacter janthinus"	"KMM 3842"
"Litoreibacter albidus"	"KMM 3851T"
"Litoreibacter janthinus"	"KMM 3842T"
"Litoreibacter albidus"	"KMM 3851"
"Miniimonas arenae"	"Miniimonas arenae"
"Miniimonas arenae"	"YM18-15"
"Miniimonas arenae"	"YM18-15T"
"Methanothermobacter tenebrarum"	"RMAS"
"Parasphingopyxis lamellibrachiae"	"JAMH 0132"
"Dactylosporangium siamense"	"MW4-36"
"Herbidospora mongoliensis"	"MN08-A0118"
"Cryptosporangium mongoliense"	"MN08-A0264"
"Wickerhamomyces scolytoplatypi"	"NBRC 11029"
"Cyberlindnera xylebori"	"NBRC 11048"
"Actinophytocola burenkhanensis"	"MN08-A0203T"
"Thermasporomyces composti"	"Thermasporomyces composti"
"Thermasporomyces composti"	"I3"
"Thermasporomyces composti"	"I3T"
"Methylomonas koyamae"	"Fw12E-Y"
"Fructobacillus tropaeoli"	"F214-1T"
"Methanobacterium petrolearium"	"Mic5c12"
"Methanobacterium ferruginis"	"Mic6c05"
"Erwinia uzenensis"	"YPPS 951"
"Dysgonomonas oryzarvi"	"Dy73"
"Roseimicrobium gellanilyticum"	"DC2a-G7"
"Brevifollis gellanilyticus"	"DC2c-G4"
"Aureicoccus marinus"	"SG-18"
"Oligosphaera ethanolica"	"8KG-4"
"Planosporangium thailandense"	"HSS8-18"
"Promicromonospora thailandica"	"S7F-02"
"Streptomyces chiangmaiensis"	"TA4-1"
"Streptomyces lannensis"	"TA4-8"
"Vibrio jasicida"	"TCFB 0772"
"Sphingobacterium thermophilum"	"CKTN2"
"Thermovum composti"	"Nis3"
"Advenella faeciporci"	"M-07"
"Carboxydothermus pertinax"	"Ug1"
"Bacteroides faecichinchillae"	"ST37"
"Bacteroides stercorirosoris"	"ST161"
"Parabacteroides chinchillae"	"ST166"
"Ardenticatena maritima"	"110S"
"Pseudoalteromonas arabiensis"	"k53"
"Actinoallomurus radicium"	"K08-0182"
"Maritalea porphyrae"	"LCM-3"
"Herbiconiux flava"	"NBRC 16403"
"Asanoa siamensis"	"PS7-2"
"Conexibacter Arvalis"	"KV-962"
"Pseudenhygromyxa salsuginis"	"SYR-2"
"Halioglobus japonicus"	"S1-36"
"Aureitalea marina"	"S1-66"
"Halioglobus pacificus"	"S1-72"
"Cellulomonas soli"	"Kc1"
"Cellulomonas oligotrophica"	"Kc5"
"Bartonella jaculi"	"OY2-1"
"Bartonella callosciuri"	"BR11-1"
"Bartonella pachyuromydis"	"FN15-2"
"Bartonella acomydis"	"KS2-1"
"Lactobacillus saniviri"	"YIT 12363"
"Lactobacillus senioris"	"YIT 12364"
"Gluconacetobacter kakiaceti"	"G5-1"
"Lactobacillus nasuensis"	"SU 18"
"Micromonospora sediminicola"	"SH2-13"
"Brevibacterium yomogidense"	"MN-6-a"
"Desulfatitalea tepidiphila"	"S28bF"
"Rhodoligotrophos Appendicifer"	"120-1"
"Oceanobacillus indicireducens"	"A21"
"Aminivibrio pyruvatiphilus"	"4F6E"
"Methylobacterium gnaphalii"	"23e"
"Gluconacetobacter tumulicola"	"K5929-2-1b"
"Gluconacetobacter Asukensis"	"K8617-1- 1b"
"Halobaculum magnesiiphilum"	"MGY-184"
"Lysinimicrobium mangrovi"	"HI08-69"
"Cobetia pacifica"	"KMM 3879"
"Cobetia litoralis"	"KMM 3880"
"Cobetia litoralis"	"KMM 1383"
"Cobetia amphilecti"	"KMM 1561"
"Acrocarpospora phusangensis"	"PS33-18"
"Phytohabitans flavus"	"K09-0627"
"Phytohabitans rumicis"	"K11-0047"
"Phytohabitans houttuyneae"	"K11-0057"
"Amphibacillus indicireducens"	"C40"
"Streptococcus orisasini"	"NUM 1801"
"Streptococcus dentasini"	"NUM 1808"
"Demequina flava"	"HR08-7"
"Demequina sediminicola"	"HR08-43"
"Veillonella tobetsuensis"	"B16"
"Streptococcus troglodytae"	"TKU 31"
"Geobacter luticola"	"OSK6"
"Loktanella cinnabarina"	"LL-001"
"Brevundimonas abyssalis"	"TAR-001"
"Polycladomyces abyssicola"	"JIR-001"
"Algimonas porphyrae"	"0C-2-2"
"Algimonas porphyrae"	"0C-17"
"Algimonas porphyrae"	"LNM-3"
"Weissella oryzae"	"SG25"
"Alkalibacterium gilvum"	"3AD-1"
"Bacteroides reticulotermitis"	"Rs-03"
"Halarchaeum salinum"	"MH1-34-1"
"Lysobacter oligotrophicus"	"107-E2"
"Endozoicomonas numazuensis"	"HC50"
"Polaribacter porphyrae"	"LNM-20"
"Paraoerskovia sediminicola"	"H25-14"
"Methylobacterium haplocladii"	"87e"
"Fusicatenibacter saccharivorans"	"HT03-11"
"Lactococcus taiwanensis"	"0905C15"
"Methylobacterium brachythecii"	"99b"
"Luteimonas vadosa"	"KMM 9005"
"Devosia submarina"	"KMM 9415"
"Wickerhamomyces siamensis"	"DMKU-RK359"
"Lactobacillus hokkaidonensis"	"LOOC260"
"Leptospira idonii"	"Eri-1"
"Lactobacillus oryzae"	"SG293"
"Rhizobium paknamense"	"L6-8"
"Salinisphaera japonica"	"YTM-1"
"Microbacterium saccharophilum"	"K-1"
"Amphibacillus iburiensis"	"N314"
"Paenibacillus thermoaerophilus"	"TC22-2b"
"Streptomyces abietis"	"A191"
"Oceanobacillus polygoni"	"SA9"
"Calderihabitans maritimus"	"KKC1"
"Halomicroarcula pellucida"	"BNERC31"
"Lactobacillus iwatensis"	"IWT246"
"Enterococcus saccharolyticus"	"812"
"Lactococcus Lactococcus formosensis"	"516"
"Desulfotomaculum intricatum"	"SR45"
"Janibacter cremeus"	"HR08-44"
"Zhihengliuella flava"	"H85-3"
"Gluconoacetobacter aggeris"	"T6203-4-1a"
"Gluconacetobacter tumulisoli"	"T611xx-1-4a"
"Gluconacetobacter takamatsuzukensis"	"T61213-20-1a"
"Lactobacillus backii"	"JCM 18665"
"Lactobacillus silagei"	"IWT126"
"Algimonas ampicilliniresistens"	"14A-2-7"
"Lactobacillus faecis"	"AFL13-2"
"Anoxybacillus ayderensis"	"AB04T"
"Aminobacter ciceronei"	"IMB-1T"
"Pseudomonas knackmussii"	"B13T"
"Saccharophagus degradans"	"2-40T"
"Mucispirillum schaedleri"	"HRI I17T"
"Burkholderia sartisoli"	"Rp7"
"Streptomyces yeochonensis"	"CN732T"
"Aminobacter lissarensis"	"CC495T"
"Roseovarius crassostreae"	"CV919-312T"
"Erwinia toletana"	"CFBP6631T"
"Methylibium petroleiphilum"	"PM1"
"Meganema perideroedes"	"Gr1"
"Streptosporangium yunnanense"	"CY-11007T"
"Streptosporangium purpuratum "	"CY-15110T"
"Halomonas sulfidaeris"	"Esulfide1T"
"Halomonas axialensis"	"Althf1T"
"Halomonas hydrothermalis"	"Slthf2T"
"Nocardia pigrifrangens"	"7031T"
"Methylobacterium nodulans"	"ORS2060T"
"Thermoanaerobacter sulfurigignens"	"JW/SL-NZ826T"
"Bacillus safensis"	"FO-36b"
"Klebsiella singaporensis"	"LX3T"
"Ferrimicrobium acidiphilum"	"T23T"
"Pseudoxanthomonas mexicana"	"AMX26BT"
"Bacteroides coprosuis"	"PC139T"
"Staphylococcus pettenkoferi"	"B3117T "
"Halopiger Halopiger aswanensis"	"56"
"Mycoplasma ovis"	NA
"Kaistella koreensis"	"Chj707T"
"Nautilia profundicola"	"AmH"
"Sphaerochaeta globosa"	"Buddy"
"Sphaerochaeta pleomorpha"	"Grapes"
"Thermodesulfatator indicus"	"CIR29812T "
"Alkalilimnicola ehrlichii"	"MLHE-1T"
"Hespellia porcina "	"PC80T"
"Hespellia stercorisuis "	"PC18T"
"Robinsoniella peoriensis"	"PPC31T"
"Vagococcus elongatus"	"PPC9T"
"Proteocatella sphenisci"	"PPP2T"
"Pseudonocardia chloroethenivorans"	"SL-1T"
"Swaminathania salitolerans"	"PA51T"
"Rubrobacter taiwanensis"	"LS-293T"
"Amycolatopsis viridis"	"GY115"
"Amycolatopsis granulosa"	"GY307"
"Mycobacterium parmense"	"MUP 1182T"
"Tenacibaculum skagerrakense"	"D30T"
"Acidaminococcus intestini"	"ADV255.99T"
"Veillonella montpellierensis"	"ADV 281.99T "
"Veillonella montpellierensis"	"ADV 281.99T "
"Dialister micraerophilus"	"ADV 04.01T"
"Amycolatopsis palatopharyngis"	"1BDZT"
"Mycobacterium engbaekii"	"ATCC 27353"
"Prevotella  marshii"	"E9.34T"
"Prevotella micans"	"E7.56T "
"Persicivirga  xylanidelens"	"SW256"
"Fluviicola taffensis"	"RW262T"
"Shewanella pacifica"	"R10SW1T"
"Novosphingobium pentaromativorans"	"US6-1T"
"Mesorhizobium septentrionale"	"SDW014T"
"Mesorhizobium temperatum"	"SDW018T"
"Psychroflexus tropicus"	"LA1T"
"Nesiotobacter exalbescens"	"LA33B"
"Arcobacter halophilus"	"LA31BT"
"Dickeya dadantii"	"CFBP 1269T"
"Dickeya dianthicola"	"CFBP 1200T"
"Dickeya zeae"	"CFBP 2052T"
"Dickeya dieffenbachiae"	"CFBP 2051T"
"Bacillus odysseyi"	"34hs-1T"
"Sulfurihydrogenibium  azorense"	"Az-Fu1T "
"Nocardioides aquiterrae"	"GW-9T "
"Streptomyces drozdowiczii"	"M7aT"
"Nitratireductor aquibiodomus"	"NL21T "
"Paenibacillus mendelii"	"C/2T"
"Bacillus hwajinpoensis"	"SW-72T"
"Bacillus acidicola"	"105-2T"
"Sulfurimonas gotlandica"	"GD1"
"Patulibacter medicamentivorans"	"I11"
"Sphingomonas fennica"	"K101T"
"Brevundimonas vancanneytii"	"LMG 2337"
"Brevundimonas poindexterae"	"FWC40"
"Brevundimonas staleyi"	"FWC43"
"Glycocaulis abyssi"	"MCS 33"
"Pseudonocardia  tetrahydrofuranoxydans"	"K1"
"Paenibacillus cookii"	"LMG 18419T"
"Bacillus shackletonii"	"LMG 18435T"
"Jeotgalicoccus pinnipedialis"	"A/G14/99/10T"
"Enterococcus ureilyticus"	"CCM 4629"
"Enterococcus rotai"	"CCM 4630"
"Chromohalobacter nigrandesensis"	"LTS-4N"
"Acinetobacter gyllenbergii"	"NIPH2150T"
"Glaciecola polaris"	"LMG21857T"
"Alteromonas stellipolaris"	"LMG 21861T"
"Novosphingobium lentum"	"MT1T"
"Gulosibacter molinativorax"	"ON4T"
"Collimonas fungivorans"	"Ter6T"
"Arthrobacter tumbae"	"LMG19501T"
"Arthrobacter momumenti"	"LMG19502T"
"Roseicyclus mahoneyensis"	"ML6T"
"Anaerotruncus colihominis"	"WAL 14565T"
"Bacillus murimartini"	"LMG 21005T"
"Blastococcus saxobsidens"	"BC444T"
"Ignicoccus hospitalis"	" KIN4/IT"
"Flavobacterium denitrificans"	"ED5T "
"Paenibacillus terrae"	"MH72"
"Dechloromonas denitrificans"	"ED1T"
"Vibrio communis"	"Vibrio communis"
"Thiomicrospira arctica"	"SVAL-ET"
"Thiomicrospira psychrophila"	"SVAL-DT"
"Methylobacter tundripaludum"	"SV96"
"Methylocystis rosea"	"SV97"
"Burkholderia tropica"	"Ppe8T"
"Halomonas indalinina"	"CG2.1T"
"10.1099/ijs.0.02424-0 Thalassolituus"	"oleivorans "
"Corynebacterium tuberculostearicum"	"XT"
"Gillisia limnaea"	"LMG21470T"
"Loktanella  salsilacus"	"LMG 21507T"
"Bacillus saliphilus"	"6AGT"
"Alkalibacillus filiformis"	"4AGT"
"Pontibaca methylaminivorans"	"GRP21"
"Amycolatopsis decaplanina"	"FH1845T"
"Propionispora hippei"	"KST"
"Rhodobium  pfennigii"	"AR2102T"
"Arthrobacter nitroguajacolicus"	"G2-1T"
"Ruminococcus champanellensis"	"18P13"
"Dinoroseobacter shibae"	"DFL 12T"
"Roseovarius mucosus"	"DFL-24T"
"Chryseobacterium molle"	"DW3"
"mycobacterium psychrotolerans"	"WA101T"
"Bacillus  galactosidilyticus"	"LMG17892T"
"Bacillus ruris"	"LMG22866T"
"Caminibacter profundus"	"CRT"
"Angulomicrobium amanitiforme"	"NCIMB1785T"
"Arcicella aquatica"	"NO-502T"
"Aeromonas simiae"	"IBSS6874T"
"Ottowia thiooxydans"	"K11T"
"Pseudomonas antarctica"	"CMS35T"
"Pseudomonas meridiana"	"CMS38T"
"Pseudomoas proteolytica"	"CMS64T"
"Nocardiopsis aegyptia"	"SNG49T"
"Bacillus drentensis"	"IDA1967T"
"Bacillus bataviensis"	"IDA1115T"
"Bacillus vireti"	"IDA3632T"
"Bacillus novalis"	"IDA3307T"
"Bacillus soli"	"IDA0086T"
"Treponema putidum"	"OMZ 758T"
"Mycobacterium chimaera "	"FI-01069T "
"Deinococcus indicus"	"Wt/1aT"
"Erysipelothrix inopinata"	"MFEP02T"
"Polynucleobacter Polynucleobacter cosmopolitanus"	"MWH-MoIso2"
"Polynucleobacter cosmopolitanus"	"MWH-MoIso2"
"Oceanibulbus indolifex"	"HEL-45T "
"Shewanella psychrophila"	"WP2T"
"Shewanella piezotolerans"	"WP3T"
"Bacillus gelatini"	"LMG21880T"
"Anoxybacillus contaminans"	"LMG21881T"
"Methylocella tundrae"	"T4T"
"Singularimonas variicoloris"	"MN28"
"Pseudonocardia benzenivorans"	"B5T"
"Nocardia tenerifensis"	"GW39-1573T"
"Flavobacterium degerlachei"	"LMG 21915T "
"Flavobacterium micromati"	"LMG21922T "
"Flavobacterium frigoris"	"LMG21919T "
"Arsenicicoccus bolidensis"	"CCUG47306T"
"Reinekea marinisedimentorum"	"KMM3655T"
"Lactobacillus rossii"	"CS1T"
"Geobacillus debilis"	"TfT"
"Belliella baltica"	"BA134T"
"Alicyclobacillus pohliae"	"MP4"
"Corynebacterium caspium"	"M/106/00/5T"
"Fastidiosipila sanguinis"	"CCUG47711T"
"Algoriphagus winogradskyi"	"KMM 3956T"
"Algoriphagus winogradskyi"	"KMM 3956T"
"Algoriphagus aquimarinus"	"KMM 3958T"
"Algoriphagus aquimarinus"	"KMM 3958T"
"Algoriphagus chordae"	"KMM 3957T "
"Algoriphagus chordae"	"KMM 3957T"
"Cloacibacterium normanense"	"NRS1"
"Arenibacter palladensis"	"KMM 3961"
"Paenibacillus cineris"	"LMG 18439T"
"Pseudomonas psychrotolerans"	"C36T"
"Sphingomonas abaci"	"C42T"
"Sphingomonas panni"	"C52T"
"Algoriphagus antarcticus"	"LMG21980T"
"Thermosipho atlanticus"	"DV1140T"
"Vibrio gigantis"	"LGP13T"
"Woodsholea maritima"	"CM243T"
"Helcococcus sueciensis"	"CCUG47334T"
"Luteibacter rhizovicinus"	"LJ96T"
"Methylohalobius crimeensis"	"10KiT"
"Pseudomonas lurida"	"P513/18T"
"Labrenzia alexandrii"	"DFL-11T"
"Labrenzia alexandrii"	"DFL-11T"
"Hoeflea phototrophica"	"DFL-43"
"Loktanella fryxellensis"	"LMG 22007T"
"Loktanella  vestfoldensis"	"LMG 22003T"
"Desulfovibrio idahonensis"	"CY1T"
"Vibrio crassostreae"	"LGP7T"
"Bacillus indicus"	"Sd/3T"
"Bacteroides cellulosilyticus"	"CRE21T"
"Pedobacter himalayensis"	"HHS22T"
"Psychrobacter vallis"	"CMS39T"
"Psychrobacter aquaticus"	"CMS56T"
"Uruburuella suis"	"1258/02T"
"Paenibacillus antarcticus"	"20CMT"
"Roseibaca ekhonensis"	"EL-50T "
"Roseisalinus antarcticus"	"EL-88T"
"Bacillus aurantiacus"	"K1-5"
"Streptococcus halichoeri"	"CCUG48324T"
"Streptococcus  castoreus"	"M605815/03/2T"
"Arthrobacter gangotriensis"	"Lz1yT"
"Arthrobacter kerguelensis"	"KGN15T"
"Pseudorhodoferax caeni "	"SB1T "
"Bacillus arsenicus"	"Con a/3T "
"Arcobacter cibarius"	"LMG21996T"
"Slackia faecicanis"	"5WC12T "
"Marinobacter sediminum"	"KMM3657T"
"Marinobacter bryozoorum"	"KMM3840T"
"Psychrobacter maritimus"	"KMM3646T"
"Psychrobacter arenosus"	"KMM3659T"
"Mycobacterium florentinum"	"FI-93171T"
"Arthrobacter psychrophenolicus"	"A631T"
"Halomonas organivorans"	"G-16.1T"
"Brevibacterium picturae"	"LMG 22061T"
"Campylobacter insulaenigrae"	"12927T"
"Acinetobacter beijerinckii"	"NIPH838T"
"Adhaeribacter aquaticus"	"MBRG1.5T"
"Jonesia quinghaiensis"	"QH3A7T"
"Enterococcus saccharominimus"	"LMG21727T"
"Micromonospora mirobrigensis"	"WA201T"
"Bacillus humi"	"LMG 22167T"
"Bacillus arvi"	"LMG 22165T"
"Bacillus arenosi"	"LMG 22166T"
"Yersinia  aleksiciae"	"Y159T"
"Mariniflexile fucanivorans"	"SW5"
"Thalassobacter stenotrophicus"	"5SM22T"
"Lactobacillus zymae"	"LMG22198T"
"Lactobacillus hammesii"	"LP38T"
"Paenibacillus wynnii"	"LMG 22176T"
"Streptococcus marimammalium"	"M54/01/1T "
"Atopococcus tabaci"	"CCUG48253T"
"Methylobacterium aquaticum"	"GR16T"
"Methylobacterium hispanicum"	"GP34T"
"Arthrobacter castelli"	"LMG22283T"
"Arthrobacter pigmenti"	"LMG22284T"
"Arthrobacter tecti"	"LMG22282T"
"Arthrobacter parietis"	"LMG22281T"
"Arthrobacter stackebrandtii"	"CCM2783T"
"Actinomyces dentalis"	"R18165T"
"Nocardioides oleivorans"	"BAS3T"
"Microbacterium oleivorans"	"BAS69T"
"Microbacterium hydrocarbonoxydans"	"BNP48T"
"Marinobacter  maritimus"	"CK47T"
"Brevibacillus levickii"	"Logan B-1657T"
"Thalassobacillus devorans"	" G-19.1T"
"Suttonella ornithocola"	"B6/99/2T"
"Aquiflexum balticum"	"BA160T"
"Mycobacterium llatzerense"	"MG13"
"Nonomuraea kuesteri"	"GW14-1925T"
"Jannaschia rubra"	"4SM3T"
"Nereida ignava"	" 2SM4T"
"Staphylococcus pseudintermedius"	"LMG22219T"
"Leuconostoc durionis"	"LMG 22556T"
"Bacillus herbersteinensis"	"D-1,5aT"
"Sanguibacter marinus"	"1-19T"
"Micromonospora saelicesensis"	"Lupac 09T"
"Micromonospora lupini"	"Lupac 14NT"
"Roseomonas lacus"	"TH-G33"
"Marinitoga hydrogenitolerans"	"AT1271T"
"Hoeflea alexandrii"	"AM1V30"
"Pedobacter caeni"	"LMG 22862T"
"Devosia limi"	"LMG 22951T"
"Arthrobacter psychrochitiniphilus"	"GP3T"
"Kribbella lupini"	"LU14"
"Acaricomes phytoseiuli"	"CSC"
"Dyadobacter crusticola"	"crusticola"
"Bacillus stratosphericus"	"41KF2a"
"Bacillus altitudinis"	"41KF2b"
"Bacillus aerius"	"24K"
"Bacillus aerophilus"	"28K"
"Marinomonas polaris"	"CK13"
"Marinomonas polaris"	"CK13"
"Enterovibrio coralii"	"LMG22228T"
"Photobacterium rosenbergii"	"LMG22223T"
"Chryseobacterium  taichungense"	"CC-TWGS1-8T"
"Rubellimicrobium  thermophilum"	" C-lvk-R2A-2"
"Methylobacterium variabile"	"GR3T"
"Microbacterium paludicola"	"US15"
"Microbacterium paludicola"	"US15"
"Rhodococcus triatomae"	"IMMIBRIV-085T"
"Nocardia elegans"	"IMMIBN-402T"
"Isoptericola hypogeus"	"HKI0342T"
"Serratia ureilytica"	" NiVa 51T "
"Catellicoccus  marimammalium"	"M35/04/3"
"Mesorhizobium  thiogangeticum"	"SJT"
"Tetrathiobacter kashmirensis"	"WT001T"
"Catenulispora acidiphila"	"ID139908"
"Actinospica acidiphila"	"GE134766"
"Actinospica robiniae"	"GE134769"
"Chromobacterium piscinae"	"LMG 3947T"
"Chromobacterium pseudoviolaceum"	"LMG 3953T"
"Lactobacillus apodemi"	"ASB1"
"Modestobacter versicolor"	"CP153-2T"
"Patulibacter americanus"	"CP177-2T"
"Chryseobacterium vrystaatense"	" LMG 22846T"
"Belnapia moabensis"	"CP2C"
"Sphingomonas desiccabilis"	"CP1DT"
"Enterococcus aquimarinus"	"LMG 16607T"
"Yangia  pacifica"	"DX5-10"
"Arcanobacterium bialowiezense"	"1(W3/01)"
"Arcanobacterium bonasi"	"2(W106/04)"
"Bacillus plakortidis"	"P203T"
"Methylobacterium isbiliense"	"AR24T"
"Enterococcus canintestini "	" LMG 13590T"
"Rhodovulum marinum"	"JA128"
"Enterococcus devriesei"	"LMG14595T"
"Williamsia deligens"	"nIMMIBRIV-956"
"Alcaligenes aquatilis"	"LMG 22996T"
"Limnohabitans curvus"	"MWH-C5"
"Limnohabitans curvus"	"MWH-C5"
"Burkholderia rhizoxinica"	"HKI454T"
"Streptomyces marokkonensis"	"Ap1T "
"Zygosaccharomyces sapae"	"ABT301"
"Planococcus columbae"	"PgEx11T"
"Tateyamaria pelophila"	"SAM4"
"Tateyamaria pelophila"	"SAM4"
"Thiorhodococcus mannitoliphagus"	"WS"
"Pediococcus stilesii"	"LMG 23082"
"Larkinella insperata"	"LMG 22510"
"Polaromonas aquatica"	"CCUG 39402"
"Enterococcus silesiacus"	"W442"
"Enterococcus termitis"	"LMG 8895"
"Rhodoblastus sphagnicola"	"RS"
"Methylbacterium adhaesivum"	"AR27"
"Methylobacterium adhaesivum"	"AR27"
"Chryseobacterium piscium"	"LMG 23089"
"Leucobacter iarius"	"40T"
"Providencia vermicola"	"OP1"
"Gracilibacillus orientalis"	"XH-63"
"Ochrobactrum oryzae"	"MTCC4195"
"Effluviibacter roseus"	"SRC-1"
